value_function,estimator,budget,n_instances,median_mse
crime,MSR,6189,10,1.778399e-02
crime,MSR,11125,10,9.508458e-03
crime,MSR,20000,10,6.254856e-03
crime,SVARM,102,10,4.874383e-01
crime,SVARM,183,10,6.341803e-01
crime,SVARM,330,10,5.873031e-01
crime,SVARM,593,10,4.465063e-01
crime,SVARM,1065,10,1.481647e-01
crime,SVARM,1915,10,2.217874e-02
crime,SVARM,3443,10,3.744582e-03
crime,SVARM,6189,10,1.044097e-03
crime,SVARM,11125,10,5.505681e-04
crime,SVARM,20000,10,3.054433e-04
crime,PermSamp,102,10,9.847217e-03
crime,PermSamp,183,10,9.847217e-03
crime,PermSamp,330,10,3.942263e-03
crime,PermSamp,593,10,1.619538e-03
crime,PermSamp,1065,10,1.037026e-03
crime,PermSamp,1915,10,4.438678e-04
crime,PermSamp,3443,10,2.413979e-04
crime,PermSamp,6189,10,1.471580e-04
crime,PermSamp,11125,10,7.863264e-05
crime,PermSamp,20000,10,4.371496e-05
crime,KernelSHAP,102,10,1.267788e+00
crime,KernelSHAP,183,10,1.755277e-02
crime,KernelSHAP,330,10,5.300325e-03
crime,KernelSHAP,593,10,3.078971e-03
crime,KernelSHAP,1065,10,1.717945e-03
crime,KernelSHAP,1915,10,7.465546e-04
crime,KernelSHAP,3443,10,3.689163e-04
crime,KernelSHAP,6189,10,2.217959e-04
crime,KernelSHAP,11125,10,1.137496e-04
crime,KernelSHAP,20000,10,6.405458e-05
crime,kADDSHAP,102,10,2.886821e-02
crime,kADDSHAP,183,10,8.156768e-03
crime,kADDSHAP,330,10,9.689971e-04
crime,kADDSHAP,593,10,1.013433e-03
crime,kADDSHAP,1065,10,9.617303e-04
crime,kADDSHAP,1915,10,1.161604e-03
crime,kADDSHAP,3443,10,9.740574e-04
crime,kADDSHAP,6189,10,5.847831e-04
crime,kADDSHAP,11125,10,1.322173e-04
crime,kADDSHAP,20000,10,2.964293e-05
crime,RegressionMSR,102,10,5.105712e-02
crime,RegressionMSR,183,10,2.286750e-02
crime,RegressionMSR,330,10,1.570838e-02
crime,RegressionMSR,593,10,6.725749e-03
crime,RegressionMSR,1065,10,4.756610e-03
crime,RegressionMSR,1915,10,2.970718e-03
crime,RegressionMSR,3443,10,1.616351e-03
crime,RegressionMSR,6189,10,7.999734e-04
crime,RegressionMSR,11125,10,3.722692e-04
crime,RegressionMSR,20000,10,1.758669e-04
crime,OddSHAP,1065,10,1.699774e-04
crime,OddSHAP,1915,10,8.550091e-05
crime,OddSHAP,3443,10,3.935291e-05
crime,OddSHAP,6189,10,2.036086e-05
crime,OddSHAP,11125,10,9.852386e-06
crime,OddSHAP,20000,10,4.838639e-06
