vf,estimator,variant,budget,n,median,q1,q3
cancer,PermSamp,v560_improved,550,30,0.001400564346822781,0.0009676974712344273,0.0032338471405807256
cancer,KernelSHAP,v560_improved,550,30,0.000807854806008748,0.0004875500525576889,0.0013662022767314407
cancer,kADDSHAP,v560_improved,550,30,0.0005181343456143672,0.0002905719495787907,0.0011607920999978593
cancer,RegressionMSR,v560_improved,550,30,0.007655803665407997,0.005780867429461602,0.008758319211610468
cancer,OddSHAP,v560_improved,550,30,7.465194415368792e-05,3.866475345388978e-05,0.00011010527970240082
cancer,MSR,v560_improved,1128,30,0.07482419742752351,0.030958933015926622,0.16247769784089772
cancer,SVARM,v560_improved,1128,30,0.005064452791348019,0.004463905370645933,0.005855632778996524
cancer,PermSamp,v560_improved,1128,30,0.0003650823597924027,0.0002558153977447748,0.001373723138020853
cancer,KernelSHAP,v560_improved,1128,30,0.00041194173679584957,0.0002736310589805234,0.0008080970855556623
cancer,kADDSHAP,v560_improved,1128,30,9.633610327488664e-05,5.360577420212759e-05,0.0001572452459083773
cancer,RegressionMSR,v560_improved,1128,30,0.0023646872337734267,0.001860978287886758,0.0027449309956733355
cancer,OddSHAP,v560_improved,1128,30,1.5836807512670198e-05,1.1226333400050684e-05,2.6513322255924855e-05
cancer,MSR,v560_improved,2315,30,0.03703410358755885,0.015590986789450482,0.07107852381174988
cancer,SVARM,v560_improved,2315,30,0.0025839192895202056,0.0019483322498285722,0.003006437871381066
cancer,PermSamp,v560_improved,2315,30,0.00013629146072123265,9.732202892328343e-05,0.0004912025208215161
cancer,KernelSHAP,v560_improved,2315,30,0.00021261759090759533,0.0001222007439016949,0.0003197364618373203
cancer,kADDSHAP,v560_improved,2315,30,2.1539913664058905e-05,1.4567152755866141e-05,3.41388036028966e-05
cancer,RegressionMSR,v560_improved,2315,30,0.0007008194815243454,0.0005877156993055885,0.0008551350135867384
cancer,OddSHAP,v560_improved,2315,30,4.206457131569179e-06,2.8164792585428422e-06,5.179698963903318e-06
cancer,MSR,v560_improved,4750,30,0.014534351647907085,0.006330783093943962,0.030178147483670426
cancer,SVARM,v560_improved,4750,30,0.0008027425112726858,0.0005237271593890918,0.0014702870744412928
cancer,PermSamp,v560_improved,4750,30,8.240530833021219e-05,4.508149546726583e-05,0.00013829208258391465
cancer,KernelSHAP,v560_improved,4750,30,0.0001136039453471913,7.39032833262051e-05,0.00019576436017584248
cancer,kADDSHAP,v560_improved,4750,30,7.92175481618391e-06,4.4896056792749115e-06,1.1648166863085226e-05
cancer,RegressionMSR,v560_improved,4750,30,0.00016806998260350114,0.00013289578951983068,0.00022032283745410775
cancer,OddSHAP,v560_improved,4750,30,6.618679376990303e-07,4.574785784897444e-07,1.0664095557852852e-06
cancer,MSR,v560_improved,9746,30,0.0052245181197482955,0.0022955476541276585,0.009807771239130365
cancer,SVARM,v560_improved,9746,30,0.00046175026880352385,0.0004060584597280544,0.0005668167915984908
cancer,PermSamp,v560_improved,9746,30,3.092845680941555e-05,2.5202948942600378e-05,0.00013975120017326295
cancer,KernelSHAP,v560_improved,9746,30,4.543692913710943e-05,2.918670144294381e-05,7.85857560030709e-05
cancer,kADDSHAP,v560_improved,9746,30,3.2590131006708274e-06,2.235458579699084e-06,6.091127695672458e-06
cancer,RegressionMSR,v560_improved,9746,30,3.6988994067009676e-05,3.104627425197232e-05,4.7070092625067706e-05
cancer,OddSHAP,v560_improved,9746,30,1.1258907660471735e-07,8.019606490625252e-08,1.4348229018053836e-07
cancer,MSR,v560_improved,20000,30,0.0033626410781666394,0.0013110927592992587,0.005654780752970413
cancer,SVARM,v560_improved,20000,30,0.00021965256721215344,0.00013865809784562245,0.0002716268665862951
cancer,PermSamp,v560_improved,20000,30,3.050076968657338e-05,1.7012745762206355e-05,7.70286009239064e-05
cancer,KernelSHAP,v560_improved,20000,30,2.4087451676982144e-05,1.3917589287913138e-05,3.764676817850389e-05
cancer,kADDSHAP,v560_improved,20000,30,1.3330164436498515e-06,8.09056480462763e-07,2.363378154694384e-06
cancer,RegressionMSR,v560_improved,20000,30,8.068616549769682e-06,7.107099817801388e-06,1.123820562613573e-05
cancer,OddSHAP,v560_improved,20000,30,1.3315895706206035e-08,6.548278571759904e-09,2.0387033084047105e-08
