vf,estimator,variant,budget,n,median,q1,q3
crime,PermSamp,v560_improved,593,30,0.0016717846017936426,0.0011232488484599515,0.0020871924367103166
crime,KernelSHAP,v560_improved,593,30,0.003078968892629025,0.0021393768442702034,0.005231259066563295
crime,kADDSHAP,v560_improved,593,30,0.001016660392702214,0.0007891235581516219,0.001396264060434308
crime,RegressionMSR,v560_improved,593,30,0.007266660536749044,0.005814707932647047,0.008736634252561302
crime,OddSHAP,v560_improved,593,30,0.0015097005866792357,0.0012950211024627132,0.001718495433219947
crime,MSR,v560_improved,1065,30,0.07572729852051044,0.02134168667405503,0.1573699094864614
crime,SVARM,v560_improved,1065,30,0.11162272265329222,0.030781224421735164,0.21028620671491768
crime,PermSamp,v560_improved,1065,30,0.0010384802255445596,0.000821656051880305,0.0013646916495009347
crime,KernelSHAP,v560_improved,1065,30,0.001625212178915141,0.0010342521732699147,0.003006986649802538
crime,kADDSHAP,v560_improved,1065,30,0.0010133565907251352,0.0007883076536816673,0.0014011632380702328
crime,RegressionMSR,v560_improved,1065,30,0.005074065576007741,0.004234455201309573,0.005758919024939743
crime,OddSHAP,v560_improved,1065,30,0.00020545155908649481,0.00013556016111291742,0.00022670618509631617
crime,MSR,v560_improved,1915,30,0.032950711817119636,0.010337363381288926,0.06913577002294817
crime,SVARM,v560_improved,1915,30,0.015875801582430932,0.0060514853537216185,0.028349099097228027
crime,PermSamp,v560_improved,1915,30,0.00041247457000092485,0.00034908297976902136,0.0005874476209356724
crime,KernelSHAP,v560_improved,1915,30,0.0006745371982190759,0.0005307513148047121,0.001351313160278385
crime,kADDSHAP,v560_improved,1915,30,0.001015672737606773,0.000785667154823022,0.0013962277369839954
crime,RegressionMSR,v560_improved,1915,30,0.0031136259903695703,0.002658357776399032,0.0035687396911953796
crime,OddSHAP,v560_improved,1915,30,8.281904372792325e-05,6.380656392725033e-05,0.00010721887500312574
crime,MSR,v560_improved,3443,30,0.020199879079264668,0.005811816054178637,0.041403581808328184
crime,SVARM,v560_improved,3443,30,0.0034408320315777096,0.0022610070188730158,0.004354282710324601
crime,PermSamp,v560_improved,3443,30,0.00024321791571251786,0.0002107636286594815,0.00031499634852823324
crime,KernelSHAP,v560_improved,3443,30,0.0003600479397785531,0.00025402574435184005,0.0006902747760081482
crime,kADDSHAP,v560_improved,3443,30,0.0010197470217852868,0.0007866727869634731,0.0014018927736023177
crime,RegressionMSR,v560_improved,3443,30,0.0016925397167585183,0.0014420009181392015,0.0019182155606876253
crime,OddSHAP,v560_improved,3443,30,4.185965420393447e-05,3.139042840956885e-05,4.9479124619774507e-05
crime,MSR,v560_improved,6189,30,0.012395626928468954,0.003423551079719973,0.023082049885777847
crime,SVARM,v560_improved,6189,30,0.0010696279921143196,0.0009363694557458714,0.0012378547963500478
crime,PermSamp,v560_improved,6189,30,0.00017088651787993807,0.00013233638841666744,0.00021054555858242123
crime,KernelSHAP,v560_improved,6189,30,0.0001967643897860351,0.00013705145173710948,0.00031396837240175437
crime,kADDSHAP,v560_improved,6189,30,0.0006080368642650874,0.00046170422141071334,0.0008340941837006803
crime,RegressionMSR,v560_improved,6189,30,0.0008577794773360816,0.0007301194698425931,0.000997400494135997
crime,OddSHAP,v560_improved,6189,30,2.066073573098877e-05,1.6222924156785713e-05,2.6533996049996533e-05
crime,MSR,v560_improved,11125,30,0.0067514525466913075,0.0017152806024205844,0.01240320950548861
crime,SVARM,v560_improved,11125,30,0.0005765162335444243,0.000507834350272868,0.000676263014689231
crime,PermSamp,v560_improved,11125,30,9.17668055243179e-05,7.229032457223985e-05,0.00014880907819312544
crime,KernelSHAP,v560_improved,11125,30,0.0001141703068128825,7.86400694152949e-05,0.00017323449194732064
crime,kADDSHAP,v560_improved,11125,30,0.0001339328503457339,0.00011089517102587834,0.00021122752284047952
crime,RegressionMSR,v560_improved,11125,30,0.00039911553111315965,0.00034564034669380087,0.0004588972319276484
crime,OddSHAP,v560_improved,11125,30,1.0097676759412259e-05,8.614855880963359e-06,1.3608485849503992e-05
crime,MSR,v560_improved,20000,30,0.0043067359505161995,0.001090583024191517,0.008211915662819105
crime,SVARM,v560_improved,20000,30,0.0003206992446424816,0.00028628775841826025,0.0003688078475181654
crime,PermSamp,v560_improved,20000,30,4.9891916407668704e-05,3.9021108499082865e-05,6.095597171929119e-05
crime,KernelSHAP,v560_improved,20000,30,5.927587186859866e-05,4.9190140032545965e-05,0.00010148272901974277
crime,kADDSHAP,v560_improved,20000,30,3.593852501244387e-05,2.4893286959848137e-05,5.0572590116087495e-05
crime,RegressionMSR,v560_improved,20000,30,0.00018634927201021452,0.00016589113960484045,0.00021489844172066264
crime,OddSHAP,v560_improved,20000,30,4.982757595147366e-06,3.8952241143385095e-06,6.420696329276769e-06
