vf,estimator,variant,budget,n,median,q1,q3
corrgroups60,KernelSHAP,v522_merged,801,30,0.0012653939244970033,0.0009759660087675864,0.0018558821188529254
corrgroups60,kADDSHAP,v522_merged,801,30,0.0007485410223172269,0.0005747432754647027,0.0011658090935971613
corrgroups60,RegressionMSR,v522_merged,801,30,0.01693120552548137,0.011818824457749816,0.0184696851148048
corrgroups60,OddSHAP,v522_merged,801,30,9.462605251218224e-05,7.424860906989563e-05,0.00014596366981857735
corrgroups60,MSR,v522_merged,1524,30,0.019728881592685533,0.012245687598426303,0.032572388059952634
corrgroups60,SVARM,v522_merged,1524,30,0.010604394840252423,0.008880015090535404,0.011920958898079093
corrgroups60,PermSamp,v522_merged,1524,30,0.0003500678083711102,0.0002801285721695653,0.0004507237430961451
corrgroups60,KernelSHAP,v522_merged,1524,30,0.0005681828475260328,0.0004461637440510114,0.0007449439601883331
corrgroups60,kADDSHAP,v522_merged,1524,30,0.0007522753607331824,0.0005725135369575333,0.0011669288185931733
corrgroups60,RegressionMSR,v522_merged,1524,30,0.007658655172623077,0.006068973163328792,0.009838684711299943
corrgroups60,OddSHAP,v522_merged,1524,30,4.1798094246214025e-05,3.271233214029604e-05,5.79355578363372e-05
corrgroups60,MSR,v522_merged,2900,30,0.011581823821570742,0.007733866118112336,0.0218296347140416
corrgroups60,SVARM,v522_merged,2900,30,0.004123746164848743,0.0032028719628037815,0.004642853816634837
corrgroups60,PermSamp,v522_merged,2900,30,0.0001461311459711216,0.00011407722294714314,0.00019673206846718635
corrgroups60,KernelSHAP,v522_merged,2900,30,0.00027956049357802566,0.00019554008321984133,0.00041215774020472034
corrgroups60,kADDSHAP,v522_merged,2900,30,0.00019205716660727922,0.00013190570341102336,0.0003198782089122255
corrgroups60,RegressionMSR,v522_merged,2900,30,0.0030558032733147573,0.002566914684886182,0.004176086967344353
corrgroups60,OddSHAP,v522_merged,2900,30,1.9454655970877494e-05,1.6048916436755682e-05,2.861848177853873e-05
corrgroups60,MSR,v522_merged,5521,30,0.0051339826673139416,0.00367200384822551,0.010092120911699864
corrgroups60,SVARM,v522_merged,5521,30,0.0017912481785075473,0.0015200388365833055,0.0021441296472801278
corrgroups60,PermSamp,v522_merged,5521,30,0.00010564099358927677,9.555598056177348e-05,0.00013332583967165228
corrgroups60,KernelSHAP,v522_merged,5521,30,0.00013449083546783898,9.498598121239057e-05,0.00019018099436542325
corrgroups60,kADDSHAP,v522_merged,5521,30,3.307757980918608e-05,2.4169127162197545e-05,5.704396502967904e-05
corrgroups60,RegressionMSR,v522_merged,5521,30,0.0012178719922509578,0.0010038372465826003,0.001640988144917701
corrgroups60,OddSHAP,v522_merged,5521,30,8.366422375245267e-06,6.061673449103074e-06,1.1485475695550956e-05
corrgroups60,MSR,v522_merged,10508,30,0.003158663066689605,0.0019471996002677976,0.005766745986053613
corrgroups60,SVARM,v522_merged,10508,30,0.0009517079106828778,0.0007889279374607609,0.0011100936544103323
corrgroups60,PermSamp,v522_merged,10508,30,5.431965039310708e-05,4.8614429347506216e-05,8.106251477712456e-05
corrgroups60,KernelSHAP,v522_merged,10508,30,7.133626147616453e-05,4.935883457554771e-05,0.00010083003988778852
corrgroups60,kADDSHAP,v522_merged,10508,30,1.0200359515474618e-05,7.130157739671359e-06,1.4919613562905616e-05
corrgroups60,RegressionMSR,v522_merged,10508,30,0.0004861338468148294,0.0003468352512318716,0.0006164224402793006
corrgroups60,OddSHAP,v522_merged,10508,30,3.3937576421686437e-06,2.735168284809044e-06,4.319731992751981e-06
corrgroups60,MSR,v522_merged,20000,30,0.0016179303593464446,0.0010456905775195772,0.0028870719932679403
corrgroups60,SVARM,v522_merged,20000,30,0.0005027206571374452,0.00040678961691954004,0.0006070443246255553
corrgroups60,PermSamp,v522_merged,20000,30,3.7855685661385195e-05,2.8927057850978246e-05,4.85550939493236e-05
corrgroups60,KernelSHAP,v522_merged,20000,30,4.3215730055556995e-05,2.8763832921973975e-05,6.166208122794045e-05
corrgroups60,kADDSHAP,v522_merged,20000,30,3.8757324671122735e-06,3.1322635174559635e-06,5.168836732416774e-06
corrgroups60,RegressionMSR,v522_merged,20000,30,0.0001729820729019165,0.0001436007331514587,0.00024795758465246054
